names,indexes
INDUSDX,438796
!AK1M,15765
!ATE1,22832
RTS.!CMLZ,15289
!CMPZ,15016
RTS.!DCNU,15017
!DTMR,16663
RTS.!GBKL,15019
!GKCN,18877
!HL56,16934
!INEC,16791
!INST,16603
!KFKR,16790
!KOSM,15405
!LMLK,15952
!MMSP,18203
RTS.!MZHK,15330
RTS.!PPRT,15018
!RFRT,17342
!TGMK,18619
!TISH,16601
!ZDMP,17947
!ZMLK,17946
#BRUT,392
#KVAS,390
#KVASG,1007
#PYRA,389
#PYRAG,413
#RTSX,419
#TEST,393
#UMOR,391
#UMORG,1008
TESTEESR,15739
RTS.%MFT4,385
RTS.%MFT5,386
%TEST1,384
+EESRG,15305
+GMKNG,15494
+GSPBEX,15832
+LKOHG,15306
+MSNGG,15495
+RTKMG,15513
+SNGSG,15307
+YUKOG,15308
MSNG,6
PMNG,71
PMNGP,33
SVER,54
TOME,15558
-EESRG,15176
-GMKNG,15181
-GSPBEX,15160
-LKOHG,15177
-MSNGG,15179
-RTKMG,15180
-RUR,16167
-SNGSG,15178
-TGKAG,18269
-VIMPG,18307
-YUKOG,15182
FLWS,913861
FLWS,913367
TY,18960
TXG,1948375
TXG,1948224
DFF1,928679
DFV0,928676
DFV1,2137545
DFX0,928677
DFX1,2188788
DFZ0,928678
DFG1,931651
DFH0,928669
DFH1,1671833
DFJ0,928670
DFJ1,1763605
DFK0,928671
DFK1,1822321
DFM0,928672
DFM1,1927670
DFN0,928673
DFN1,1996823
DFQ0,928674
DFQ1,2037990
DFU0,928675
DFU1,2085939
SPFB.1MFR,888184
MFF0,888174
MFF1,928344
MFV9,888175
MFV0,916521
MFV1,2137544
MFX9,888176
MFX0,923335
MFX1,2188787
MFZ9,888177
MFZ0,926194
MFG0,888178
MFG1,931652
MFH0,888179
MFH1,1671832
MFJ0,888180
MFJ1,1763606
MFK0,889960
MFK1,1822322
MFM9,888181
MFM0,898228
MFM1,1927671
MFN9,888182
MFN0,901424
MFN1,1996822
MFQ9,888216
MFQ0,906367
MFQ1,2037989
MFU9,888183
MFU0,910578
MFU1,2085938
TU,18961
TWOU,875618
TWOU,876357
US,19474
MMM,462821
MMM,18090
RU000A0ZZ0Q5,493860
FV,18962
JOBS,496513
JOBS,874504
RU000A0JPB17,18825
RU000A0JQ6N0,22137
SCOH-002D,17081
RU0009070742,12957
SCON,16049
EGHT,913855
EGHT,912962
AOS,571345
AOS,874210
AAON,1948125
AAON,1948278
AIR,579543
AIR,874184
ABMD,875423
ABMD,876275
ABRD,82457
ACAD,903781
ACAD,903835
ACIW,2190372
ACIW,2190510
ACMR,1948279
ACMR,1948126
RU000A0EAA85,18239
RU000A0EABA4,18241
ACM,913345
ACM,913815
AESL,181863
AFKS,15875
AKZ0,1822435
AKH1,2048013
AKU0,1822434
AFKSG,16206
AFL,874181
AFLT,302
AFLT,484309
AFLT,74617
AFZ7,484307
AFZ8,495875
AFZ9,892969
AFZ0,1823140
AFH8,487510
AFH9,497532
AFH0,909146
AFH1,2048012
AFM8,490789
AFM9,502289
AFM0,924889
AFU7,484308
AFU8,492834
AFU9,874069
AFU0,931996
AFLT01G,745
AFLTG,427
AGAMIT,17087
AGAMITG,18302
AGCO,571637
AGCO,874182
AGRO,399707
AGRO,399716
RTS.AHTC,436
RTS.AHTCP,438
AIZK05,65739
AIZK06,65740
XS1272198265,476196
AKCBI,928569
AKEUA,906132
AKHA,16041
AKHAG,17522
AKMBA,1822329
AKNXA,501923
AKREI,2135792
AKREPI,2135793
AKRN,17350
AKRNG,16968
AKSPA,876253
RTS.ALCOP,135
RTS.ALCO,133
XS0620695204,476184
XS0620695204.EU,398488
ALFA0430,916195
ALFAperp,498988
ALFA0421,494991
ALFAperp0222,498998
XS0544362972,476160
XS0544362972.EU,398305
ALFA0420EU,909401
ALE,1948129
ALEB01,471255
ALEB01.IND,471256
SPFB.ALMN,501254
AMF9,501251
AMF0,910976
AMF1,2096771
AMV9,898585
AMV0,1977336
AMX9,901458
AMX0,1997997
AMZ8,501252
AMZ9,909973
AMZ0,2037985
AMG9,501253
AMG0,916828
AMG1,2139283
AMH9,502227
AMH0,924720
