Nmin Nmax count_lesion avr_lesion count_profit avr_profit count_all total avr_all avr_potencial
10 10 117 -0.38 57 0.646 175 -7.60 -0.04 0.497
10 15 99 -0.35 42 0.743 143 -4.23 -0.02 0.510
10 20 88 -0.34 34 0.718 124 -5.64 -0.04 0.496
10 25 71 -0.41 34 0.676 107 -6.19 -0.05 0.501
10 30 63 -0.41 32 0.694 95 -3.97 -0.04 0.527
10 35 54 -0.38 30 0.703 84 0.389 0.004 0.560
10 40 47 -0.38 29 0.701 76 2.399 0.031 0.592
10 45 47 -0.37 25 0.777 72 1.909 0.026 0.594
10 50 43 -0.39 23 0.803 66 1.699 0.025 0.605
10 55 39 -0.38 23 0.665 62 0.379 0.006 0.589
10 60 38 -0.38 23 0.638 61 -0.12 -0.00 0.583
15 10 108 -0.44 48 0.741 156 -12.8 -0.08 0.543
15 15 91 -0.40 35 0.863 127 -6.90 -0.05 0.571
15 20 83 -0.38 28 0.915 112 -6.55 -0.05 0.565
15 25 67 -0.43 28 0.845 96 -5.22 -0.05 0.591
15 30 59 -0.43 26 0.881 86 -2.47 -0.02 0.616
15 35 52 -0.42 24 0.904 77 -0.62 -0.00 0.640
15 40 46 -0.41 23 0.894 70 1.589 0.022 0.672
15 45 43 -0.43 22 0.913 66 1.309 0.019 0.680
15 50 42 -0.44 20 0.943 62 0.019 0.000 0.670
15 55 38 -0.42 20 0.784 58 -0.58 -0.01 0.657
15 60 37 -0.43 20 0.753 57 -1.20 -0.02 0.652
20 10 103 -0.46 39 0.868 142 -14.1 -0.09 0.575
20 15 88 -0.42 29 1.036 117 -7.29 -0.06 0.605
20 20 78 -0.41 26 1.023 104 -6.02 -0.05 0.604
20 25 65 -0.45 25 0.992 90 -4.92 -0.05 0.627
20 30 58 -0.44 23 1.046 81 -1.84 -0.02 0.660
20 35 52 -0.44 21 1.088 73 -0.18 -0.00 0.682
20 40 45 -0.43 21 1.035 66 2.299 0.034 0.720
20 45 42 -0.45 20 1.060 62 2.209 0.035 0.731
20 50 39 -0.48 19 1.053 58 0.919 0.015 0.724
20 55 37 -0.45 17 1.011 54 0.329 0.006 0.715
20 60 36 -0.45 17 0.974 53 0.019 0.000 0.710
25 10 94 -0.54 34 0.914 128 -19.9 -0.15 0.614
25 15 76 -0.52 29 0.957 105 -12.3 -0.11 0.660
25 20 66 -0.53 26 0.932 93 -10.9 -0.11 0.664
25 25 56 -0.59 25 0.897 82 -10.9 -0.13 0.681
25 30 50 -0.58 23 0.936 74 -7.45 -0.10 0.719
25 35 45 -0.56 21 0.968 67 -4.92 -0.07 0.742
25 40 38 -0.51 21 0.915 60 -0.40 -0.00 0.791
25 45 35 -0.55 21 0.888 57 -0.74 -0.01 0.794
25 50 31 -0.60 21 0.823 53 -1.50 -0.02 0.800
25 55 31 -0.54 18 0.803 50 -2.34 -0.04 0.780
25 60 30 -0.54 18 0.768 49 -2.65 -0.05 0.776
30 10 86 -0.55 29 1.035 116 -18.1 -0.15 0.669
30 15 68 -0.56 27 1.008 96 -11.2 -0.11 0.715
30 20 61 -0.56 25 0.961 86 -10.4 -0.12 0.715
30 25 53 -0.60 24 0.925 77 -10.0 -0.13 0.731
30 30 48 -0.59 22 0.969 70 -7.07 -0.10 0.768
30 35 43 -0.56 20 1.005 63 -4.31 -0.06 0.803
30 40 38 -0.53 20 0.950 58 -1.25 -0.02 0.823
30 45 35 -0.56 20 0.921 55 -1.36 -0.02 0.828
30 50 31 -0.61 20 0.853 51 -2.12 -0.04 0.837
30 55 31 -0.55 17 0.831 48 -2.96 -0.06 0.818
30 60 30 -0.55 17 0.794 47 -3.27 -0.06 0.814
35 10 79 -0.58 28 0.967 108 -19.3 -0.17 0.713
35 15 64 -0.60 27 0.908 92 -14.1 -0.15 0.747
35 20 57 -0.60 25 0.853 82 -13.3 -0.16 0.750
35 25 49 -0.65 24 0.813 73 -12.7 -0.17 0.767
35 30 44 -0.63 22 0.846 66 -9.38 -0.14 0.816
35 35 39 -0.59 20 0.870 59 -5.71 -0.09 0.858
35 40 34 -0.51 20 0.817 54 -1.13 -0.02 0.899
35 45 32 -0.52 19 0.828 51 -1.17 -0.02 0.909
35 50 30 -0.55 18 0.800 48 -2.22 -0.04 0.910
35 55 29 -0.51 16 0.742 45 -2.92 -0.06 0.895
35 60 28 -0.51 16 0.703 44 -3.23 -0.07 0.893
40 10 76 -0.59 26 0.999 102 -19.4 -0.19 0.742
40 15 63 -0.60 25 0.936 88 -14.9 -0.17 0.770
40 20 56 -0.62 23 0.880 79 -14.6 -0.18 0.776
40 25 48 -0.66 22 0.837 70 -13.6 -0.19 0.799
40 30 45 -0.64 20 0.875 65 -11.5 -0.17 0.828
40 35 40 -0.60 18 0.905 58 -7.89 -0.13 0.873
40 40 36 -0.53 18 0.846 54 -3.90 -0.07 0.899
40 45 33 -0.56 18 0.819 51 -3.84 -0.07 0.909
40 50 32 -0.57 16 0.853 48 -4.62 -0.09 0.910
40 55 32 -0.51 13 0.879 45 -5.02 -0.11 0.895
40 60 31 -0.52 13 0.831 44 -5.33 -0.12 0.893
45 10 71 -0.62 25 1.082 96 -17.5 -0.18 0.775
45 15 60 -0.62 22 1.125 82 -12.6 -0.15 0.815
45 20 52 -0.67 22 0.980 74 -13.2 -0.17 0.813
45 25 45 -0.71 21 0.943 66 -12.2 -0.18 0.835
45 30 43 -0.68 19 0.996 62 -10.3 -0.16 0.862
45 35 38 -0.63 17 1.054 55 -6.27 -0.11 0.913
45 40 34 -0.56 17 0.991 51 -2.27 -0.04 0.944
45 45 31 -0.58 17 0.963 48 -1.63 -0.03 0.960
45 50 29 -0.59 16 0.958 45 -2.06 -0.04 0.965
45 55 29 -0.53 13 1.009 42 -2.46 -0.05 0.953
45 60 28 -0.54 13 0.976 41 -2.56 -0.06 0.957
50 10 70 -0.62 23 1.103 93 -18.5 -0.19 0.799
50 15 60 -0.69 21 1.116 81 -18.2 -0.22 0.824
50 20 52 -0.75 21 0.971 73 -18.8 -0.25 0.824
50 25 44 -0.82 21 0.893 65 -17.5 -0.27 0.847
50 30 42 -0.79 19 0.941 61 -15.6 -0.25 0.875
50 35 37 -0.67 17 0.996 54 -8.01 -0.14 0.929
50 40 33 -0.60 17 0.938 50 -3.94 -0.07 0.963
50 45 30 -0.62 17 0.912 47 -3.25 -0.06 0.982
